email,label
"Congratulations you won a free lottery prize",1
"Win a free cash reward now",1
"Claim your free money immediately",1
"Urgent you won a cash prize",1
"Click here to get your free reward",1
"Free offer claim your prize",1
"Congratulations winner claim cash",1
"Win lottery money now",1
"Get free gift by clicking this link",1
"You are selected for a cash reward",1
"Free coupon offer available",1
"Claim lottery reward today",1
"Win a free vacation now",1
"Urgent click to claim your money",1
"Congratulations you are a winner",1
"Free cash offer click now",1
"Lottery winner claim your reward",1
"Get your prize immediately",1
"Special free offer for you",1
"Win money by clicking here",1
"Free reward waiting for you",1
"You have won a lottery",1
"Claim your cash prize now",1
"Congratulations free gift winner",1
"Urgent free money offer",1
"Please attend the project meeting",0
"Send me the project report",0
"Your assignment is due tomorrow",0
"Can we discuss the project",0
"Please review the attached document",0
"The meeting starts at ten",0
"Submit the assignment today",0
"Please send the notes",0
"The project presentation is ready",0
"Your interview is scheduled",0
"Let's meet tomorrow morning",0
"Please check the project file",0
"The report has been completed",0
"Can you send the meeting details",0
"Your class starts at nine",0
"Please complete the project",0
"The documents are attached",0
"Meeting scheduled for Monday",0
"Please submit your work",0
"Project discussion is tomorrow",0
"Send the assignment file",0
"Please attend the class",0
"The project deadline is near",0
"Your report looks good",0
"Let's discuss the assignment",0
